province,sex,age_range,education,n
Newfoundland and Labrador,Male,70-79,Highschool,38
Newfoundland and Labrador,Male,70-79,"NA",3
Newfoundland and Labrador,Male,70-79,No Highschool,19
Newfoundland and Labrador,Male,70-79,Undergraduate,4
Newfoundland and Labrador,Male,80-89,Graduate+,1
Newfoundland and Labrador,Male,80-89,Highschool,8
Newfoundland and Labrador,Male,80-89,"NA",2
Newfoundland and Labrador,Male,80-89,No Highschool,10
Newfoundland and Labrador,Male,80-89,Undergraduate,2
Nova Scotia,Female,18-29,Graduate+,3
Nova Scotia,Female,18-29,Highschool,38
Nova Scotia,Female,18-29,"NA",2
Nova Scotia,Female,18-29,No Highschool,4
Nova Scotia,Female,18-29,Undergraduate,7
Nova Scotia,Female,30-39,Graduate+,9
Nova Scotia,Female,30-39,Highschool,52
Nova Scotia,Female,30-39,"NA",1
Nova Scotia,Female,30-39,No Highschool,1
Nova Scotia,Female,30-39,Undergraduate,30
Nova Scotia,Female,40-49,Graduate+,18
Nova Scotia,Female,40-49,Highschool,53
Nova Scotia,Female,40-49,"NA",3
Nova Scotia,Female,40-49,No Highschool,2
Nova Scotia,Female,40-49,Undergraduate,29
Nova Scotia,Female,50-59,Graduate+,10
Nova Scotia,Female,50-59,Highschool,80
Nova Scotia,Female,50-59,"NA",1
Nova Scotia,Female,50-59,No Highschool,11
Nova Scotia,Female,50-59,Undergraduate,21
Nova Scotia,Female,60-69,Graduate+,19
Nova Scotia,Female,60-69,Highschool,110
Nova Scotia,Female,60-69,"NA",3
Nova Scotia,Female,60-69,No Highschool,21
Nova Scotia,Female,60-69,Undergraduate,20
Nova Scotia,Female,70-79,Graduate+,5
Nova Scotia,Female,70-79,Highschool,70
Nova Scotia,Female,70-79,"NA",3
Nova Scotia,Female,70-79,No Highschool,39
Nova Scotia,Female,70-79,Undergraduate,20
Nova Scotia,Female,80-89,Graduate+,3
Nova Scotia,Female,80-89,Highschool,36
Nova Scotia,Female,80-89,No Highschool,24
Nova Scotia,Female,80-89,Undergraduate,5
Nova Scotia,Male,18-29,Graduate+,2
Nova Scotia,Male,18-29,Highschool,41
Nova Scotia,Male,18-29,"NA",1
Nova Scotia,Male,18-29,No Highschool,5
Nova Scotia,Male,18-29,Undergraduate,12
Nova Scotia,Male,30-39,Graduate+,4
Nova Scotia,Male,30-39,Highschool,53
Nova Scotia,Male,30-39,No Highschool,5
Nova Scotia,Male,30-39,Undergraduate,31
Nova Scotia,Male,40-49,Graduate+,9
Nova Scotia,Male,40-49,Highschool,56
Nova Scotia,Male,40-49,"NA",2
Nova Scotia,Male,40-49,No Highschool,2
Nova Scotia,Male,40-49,Undergraduate,23
Nova Scotia,Male,50-59,Graduate+,16
Nova Scotia,Male,50-59,Highschool,72
Nova Scotia,Male,50-59,No Highschool,17
Nova Scotia,Male,50-59,Undergraduate,18
